,Description,Position Id,Variance,EPC,PC,Position,Men off,Wastage,Checkers,1,2,3,4,5,6,Formula used,Estimate,Error,Abc,Matussek,2 Tower,3 Tower,4 Tower,5 Tower,Odd,CG,CG_N,gap1,gap2,gap3,gap4,gap5,gap6,tower1,tower2,tower3,tower4,tower5,tower6,towers,acedeuce,highlow,High,Medium,Low,Rollish
8889,Medium,33744,1.0421321,60.426502,45,2 160042,2,15.426502,13,1,6,0,0,4,2,Tba,52.0,-8.426502228,56.0,61.3,,,,,1,2.9615384615384617,0.9871794871794872,0,0,1,1,0,0,0,1,0,0,0,0,1,7,6,False,True,False,False
8890,Low,22894,0.8242101,52.739826,37,3 161031,3,15.739826,12,1,6,1,0,3,1,Tba,44.0,-8.739826202,48.0,53.8,,,,,0,3.0833333333333335,1.027777777777778,0,0,0,1,0,0,0,1,0,0,0,0,1,7,6,False,False,True,False
8891,Medium,38649,1.1834028,61.27098,52,2 023413,2,9.27098,13,0,2,3,4,1,3,Tba,59.0,-2.270980835,60.5,64.6,,,,,1,3.5,1.1666666666666667,1,0,0,0,0,0,0,0,0,0,0,0,0,2,4,False,True,False,False
8892,Low,39504,0.92931795,62.39126,49,1 403223,1,13.39126,14,4,0,3,2,2,3,Tba,56.0,-6.39125824,60.5,65.4,,,,,0,3.5,1.1666666666666667,0,1,0,0,0,0,0,0,0,0,0,0,0,4,4,False,False,True,False
8893,Medium,30897,0.94755,48.50605,40,5 021412,5,8.50605,10,0,2,1,4,1,2,Tba,47.0,-1.50605011,48.0,50.9,,,,,0,4.0,1.3333333333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,2,4,False,True,False,False
8894,Medium,30636,0.76934797,40.97218,33,7 020312,7,7.97218,8,0,2,0,3,1,2,Matussek,41.7,0.7278205872,41.0,41.7,,,,,0,4.125,1.375,1,0,1,0,0,0,0,0,0,0,0,0,0,2,3,False,True,False,False
8895,Medium,19659,0.4693353,33.077316,24,8 201211,8,9.077316,7,2,0,1,2,1,1,Matussek,33.4,0.3226837158,33.0,33.4,,,,,1,2.9285714285714284,0.9761904761904762,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,False,True,False,False
8896,Low,31601,0.79964834,62.264153,44,0 434022,0,18.264153,15,4,3,4,0,2,2,Tba,51.0,-11.26415253,57.7,64.2,,,,,1,2.433333333333333,0.811111111111111,0,0,0,1,0,0,0,0,0,0,0,0,0,7,4,False,False,True,False
8897,Low,7314,0.7522619,54.764904,34,1 444020,1,20.764904,14,4,4,4,0,2,0,Tba,41.0,-13.76490402,49.2,55.3,,,,,0,2.4285714285714284,0.8095238095238094,0,0,0,1,0,1,0,0,0,0,0,0,0,8,4,False,False,True,False
8898,Rollish,15772,0.55082375,50.275566,25,2 732001,2,25.275566,13,7,3,2,0,0,1,Tba,32.0,-18.2755661,40.5,50.1,,,,,1,1.4230769230769231,0.4743589743589744,0,0,0,1,1,0,1,0,0,0,0,0,1,10,7,False,False,False,True
8899,Medium,24750,1.1348641,53.625866,45,4 013241,4,8.625866,11,0,1,3,2,4,1,Tba,52.0,-1.625865936,53.0,55.9,,,,,1,3.590909090909091,1.196969696969697,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,False,True,False,False
8900,Medium,43874,1.14865,56.22891,48,4 013214,4,8.22891,11,0,1,3,2,1,4,Tba,55.0,-1.228908539,56.0,58.6,,,,,1,3.8636363636363633,1.2878787878787878,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,False,True,False,False
8901,Medium,23557,0.9506493,48.50985,40,5 013231,5,8.50985,10,0,1,3,2,3,1,Tba,47.0,-1.509849548,48.0,49.7,,,,,0,4.0,1.3333333333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,False,True,False,False
8902,Low,5617,0.72479826,48.544853,29,3 440310,3,19.544853,12,4,4,0,3,1,0,Tba,36.0,-12.54485321,43.0,48.1,,,,,0,2.4166666666666665,0.8055555555555555,0,0,1,0,0,1,0,0,0,0,0,0,0,8,4,False,False,True,False
8903,Medium,5575,0.5665477,35.86193,21,7 400310,7,14.86193,8,4,0,0,3,1,0,Matussek,35.9,0.03806915283,33.0,35.9,,,,,0,2.625,0.875,0,1,1,0,0,1,0,0,0,0,0,0,0,4,4,False,True,False,False
8904,Medium,2825,0.9757556,49.833824,36,4 016400,4,13.833824,11,0,1,6,4,0,0,Three Tower,50.8,0.9661758423,47.1,50.2,,50.8,,,1,2.772727272727273,0.9242424242424243,1,0,0,0,1,1,0,0,1,0,0,0,1,1,6,False,True,False,False
8905,Medium,2399,0.7908671,41.28888,29,6 015300,6,12.28888,9,0,1,5,3,0,0,Three Tower,42.0,0.7111206055,39.4,41.0,,42.0,,,1,2.7222222222222223,0.9074074074074074,1,0,0,0,1,1,0,0,1,0,0,0,1,1,5,False,True,False,False
8906,Low,11373,0.83746016,61.553307,42,0 353040,0,19.553307,15,3,5,3,0,4,0,Tba,49.0,-12.55330658,56.0,62.2,,,,,1,2.3,0.7666666666666666,0,0,0,1,0,1,0,1,0,0,0,0,1,8,5,False,False,True,False
